rang,marque,annonces,favoris,fav_par_annonce
1,Disney,11,129,11.7
2,Vertbaudet,4,106,26.5
3,Squishy,5,103,20.6
4,Little Dutch,6,68,11.3
5,Nathan,4,54,13.5
6,Barbie,10,53,5.3
7,Action,3,51,17.0
8,VTech,6,50,8.3
9,Pop Mart,3,46,15.3
10,Playmobil,16,42,2.6
11,Tonies,6,25,4.2
12,Peppa Pig,3,25,8.3
13,Schleich,6,19,3.2
14,Funko Pop,13,17,1.3
15,Jellycat,3,13,4.3
16,Bandai,3,13,4.3
17,Pokémon,5,11,2.2
18,Mattel,3,11,3.7
19,LEGO,7,8,1.1
20,Disneyland Paris,3,8,2.7
21,Ravensburger,4,6,1.5
22,McDonald's,3,6,2.0
23,Intex,3,5,1.7
24,Super Mario,4,4,1.0
25,Monster High,3,2,0.7
26,Sesame Street,3,1,0.3
27,Beyblade,3,1,0.3
28,Funko,5,0,0.0
29,Janod,4,0,0.0
30,L.O.L. Surprise,4,0,0.0
31,Ty,3,0,0.0
