rang,marque,annonces,favoris,fav_par_annonce
1,Hermès,348,10290,29.6
2,Apple,966,9949,10.3
3,Rolex,208,5054,24.3
4,Pokémon,714,4237,5.9
5,LEGO,200,3384,16.9
6,Sony,203,2870,14.1
7,Gucci,216,2634,12.2
8,Samsung,389,2585,6.6
9,Louis Vuitton,122,2414,19.8
10,Decathlon,489,2111,4.3
11,Nintendo,144,2071,14.4
12,Panini,321,1978,6.2
13,adidas,275,1831,6.7
14,Nikon,68,1795,26.4
15,Canon,106,1764,16.6
16,Philips,191,1752,9.2
17,IKEA,227,1636,7.2
18,Garmin,150,1601,10.7
19,FUJIFILM,51,1585,31.1
20,Vintage Dressing,96,1556,16.2
21,Chanel,80,1550,19.4
22,Dior,85,1529,18.0
23,Audemars Piguet,35,1407,40.2
24,Legami,79,1365,17.3
25,Disney,223,1361,6.1
26,Warhammer,119,1178,9.9
27,Cybex,149,1140,7.7
28,Kodak,38,1066,28.1
29,Chrome Hearts,24,1053,43.9
30,Stanley,23,1030,44.8
31,Nike,143,998,7.0
32,Wilson,144,950,6.6
33,Leica,69,897,13.0
34,Vintage,60,888,14.8
35,Action,149,840,5.6
36,Lenovo,62,815,13.1
37,Head,133,793,6.0
38,Zara,50,778,15.6
39,Ravensburger,173,776,4.5
40,OnePiece,82,772,9.4
41,Olympus,21,764,36.4
42,Vertbaudet,75,756,10.1
43,No Label,162,754,4.7
44,Tefal,79,749,9.5
45,TaylorMade,98,734,7.5
46,Funko,55,730,13.3
47,Maisons du Monde,45,717,15.9
48,Xiaomi,99,716,7.2
49,Cartier,36,716,19.9
50,Intex,70,686,9.8
51,Winning,47,680,14.5
52,Panasonic,38,669,17.6
53,Tupperware,154,591,3.8
54,Bang & Olufsen,20,578,28.9
55,BIC,47,564,12.0
56,Titleist,88,559,6.4
57,Smart Watch,47,556,11.8
58,Pioneer,53,551,10.4
59,Momcozy,37,546,14.8
60,Bandai,43,545,12.7
61,Dyson,55,543,9.9
62,Hasbro,69,538,7.8
