categorie,rang,favoris_par_jour,favoris,age_jours,prix,marque,etat,titre,url
Femmes › Chaussures,1,898.0,449,0.37,90.0,Agui,Neuf sans étiquette,Agui leather shearling fur tabi mules 38 39 25.5cm,https://www.vinted.fr/items/9711978484-agui-leather-shearling-fur-tabi-mules-38-39-255cm
Femmes › Chaussures,2,516.0,258,0.42,60.0,Vintage Love,Neuf sans étiquette,Mules zèbre - bleu ciel / Style Vintage Y2k,https://www.vinted.fr/items/9711078598-mules-zebre-bleu-ciel-style-vintage-y2k
Femmes › Chaussures,3,386.0,193,0.31,34.99,Stivali,Neuf sans étiquette,Stivali con risvolto neri 38,https://www.vinted.fr/items/9713046911-stivali-con-risvolto-neri-38
Femmes › Chaussures,4,321.4,180,0.56,15.0,Bata,Très bon état,ballerine (38),https://www.vinted.fr/items/9708476664-ballerine-38
Femmes › Chaussures,5,273.1,142,0.52,34.99,Stivali,Neuf sans étiquette,Stivali con risvolto neri 41,https://www.vinted.fr/items/9709117441-stivali-con-risvolto-neri-41
Femmes › Chaussures,6,266.0,133,0.09,75.0,Asics,Très bon état,"Asics bleu , taille 37",https://www.vinted.fr/items/9715261390-asics-bleu-taille-37
Femmes › Chaussures,7,266.0,133,0.26,100.0,Lacoste,Neuf sans étiquette,Baskets Lacoste,https://www.vinted.fr/items/9713792959-baskets-lacoste
Femmes › Chaussures,8,254.0,127,0.38,16.99,Boutique,Très bon état,Sandalia marrón tacón barca talla 40,https://www.vinted.fr/items/9711679176-sandalia-marron-tacon-barca-talla-40
Femmes › Chaussures,9,212.0,106,0.33,45.0,Nike,Très bon état,Nike mind blanche 38,https://www.vinted.fr/items/9688343931-nike-mind-blanche-38
Femmes › Chaussures,10,210.0,105,0.26,60.0,Dr. Martens,Bon état,Dr. Martens Jadon,https://www.vinted.fr/items/9713809136-dr-martens-jadon
Femmes › Chaussures,11,190.0,95,0.48,58.0,Birkenstock,Bon état,Verzorgd Simpel Britkenston Maat 39 L8M6,https://www.vinted.fr/items/9709821263-verzorgd-simpel-britkenston-maat-39-l8m6
Femmes › Chaussures,12,188.0,94,0.49,65.0,Birkenstock,Très bon état,Birkenstock Boston Mules taille 38 marron clair beige,https://www.vinted.fr/items/9709745465-birkenstock-boston-mules-taille-38-marron-clair-beige
Femmes › Chaussures,13,182.0,91,0.26,60.0,keen,Très bon état,Keen Jasper Shoes,https://www.vinted.fr/items/9713834818-keen-jasper-shoes
Femmes › Chaussures,14,178.0,89,0.32,15.0,H&M,Neuf sans étiquette,Loafers,https://www.vinted.fr/items/9712805356-loafers
Femmes › Chaussures,15,176.0,88,0.32,10.0,Even&Odd,Très bon état,ballerine burundi,https://www.vinted.fr/items/9712890017-ballerine-burundi
Femmes › Sacs,1,590.0,295,0.39,50.0,Maison Héritage,Très bon état,Sac à main Maison Héritage,https://www.vinted.fr/items/9711572687-sac-a-main-maison-heritage
